SIZE,SECTOR,TURNOVER,RATING,DECISION?
large,Commodity,very-high,5-star,INVEST
medium,Commodity,very-high,5-star,INVEST
medium,Chemical,good,5-star,INVEST
small,Technology,very-high,5-star,REJECT
large,Commodity,good,4-star,INVEST
medium,Commodity,good,4-star,REJECT
large,Commodity,very-high,4-star,INVEST
medium,Commodity,very-high,4-star,INVEST
large,Commodity,very-high,4-star,INVEST
small,Commodity,very-high,4-star,REJECT
large,Commodity,high,4-star,INVEST
medium,Commodity,high,4-star,INVEST
small,Commodity,high,4-star,REJECT
large,Technology,low,4-star,REJECT
large,Technology,high,4-star,INVEST
large,Technology,very-high,4-star,INVEST
medium,Technology,high,4-star,INVEST
medium,Technology,very-high,4-star,REJECT
small,Technology,low,4-star,REJECT
medium,Technology,high,4-star,INVEST
medium,Technology,good,4-star,INVEST
large,Chemical,very-high,4-star,INVEST
large,Health,very-high,4-star,INVEST
small,Health,very-high,4-star,MAYBE
medium,Health,very-high,4-star,MAYBE
small,Health,low,4-star,MAYBE
medium,Commodity,good,3-star,REJECT
large,Technology,very-high,3-star,INVEST
small,Technology,very-high,3-star,INVEST